Product,Price,Imagepath,Dataurl,Label
Aaron1982精品長袖機能運動彈力排汗半領拉鍊POLO衫設計(灰),1080,.\\pic\\clothes\\polo_long\\10.jpg,https://24h.pchome.com.tw/prod/DICFVF-A9009TUWY,polo_long
長袖條紋襯衫領POLO衫,721,.\\pic\\clothes\\polo_long\\11.jpg,https://24h.pchome.com.tw/prod/DIBADV-A9007NKIE,polo_long
CARAVA《女款排汗長袖T恤》(橙紅),980,.\\pic\\clothes\\polo_long\\12.jpg,https://24h.pchome.com.tw/prod/DEBL4W-A9007FMDR,polo_long
Fabrizio法比奇【My Confidence 。自信】非。正式 襯衫領長袖polo衫 - 午夜藍,616,.\\pic\\clothes\\polo_long\\13.jpg,https://24h.pchome.com.tw/prod/DIBADV-A80675958,polo_long
雙層點點襯衫領長袖POLO衫,756,.\\pic\\clothes\\polo_long\\14.jpg,https://24h.pchome.com.tw/prod/DIBADV-A9007NKID,polo_long
Fabrizio法比奇【My Casual 。愜意】非。正式 襯衫領鉚釘口袋寬條紋長袖POLO衫 - 番紅花,616,.\\pic\\clothes\\polo_long\\15.jpg,https://24h.pchome.com.tw/prod/DIBADV-A82036311,polo_long
ADISI 女羊毛竹炭透氣快乾長袖POLO衫AL1721046   深丈青,990,.\\pic\\clothes\\polo_long\\16.jpg,https://24h.pchome.com.tw/prod/DEBLMH-A9008K6V5,polo_long
遊遍天下 MIT女款長袖POLO衫NL006灰 酒紅,599,.\\pic\\clothes\\polo_long\\17.jpg,https://24h.pchome.com.tw/prod/DEBL7D-A9007GPND,polo_long
遊遍天下 男款長袖POLO衫L10033寶藍,669,.\\pic\\clothes\\polo_long\\18.jpg,https://24h.pchome.com.tw/prod/DEBL7E-A9009S4L1,polo_long
Fabrizio法比奇【My Confidence 。自信】非。正式 襯衫領雙色條紋長袖polo衫 - 番紅花,616,.\\pic\\clothes\\polo_long\\19.jpg,https://24h.pchome.com.tw/prod/DIBADV-A82035385,polo_long
Fabrizio法比奇【My Confidence 。自信】非。正式 襯衫領雙色條紋長袖polo衫 - 午夜藍,616,.\\pic\\clothes\\polo_long\\110.jpg,https://24h.pchome.com.tw/prod/DIBADV-A82036393,polo_long
ROBERTA諾貝達 時尚休閒長袖POLO棉衫HBB52-49墨綠,749,.\\pic\\clothes\\polo_long\\111.jpg,https://24h.pchome.com.tw/prod/DICLD4-A9008FORR,polo_long
Fabrizio法比奇【My Confidence 。自信】非。正式 襯衫領長袖polo衫 - 茄紫,616,.\\pic\\clothes\\polo_long\\112.jpg,https://24h.pchome.com.tw/prod/DIBADV-A80673534,polo_long
