Product,Price,Imagepath,Dataurl,Label
咖啡紗國民POLO衫,499,.\\pic\\clothes\\polo_simplecolor\\10.jpg,https://24h.pchome.com.tw/prod/DEBL7P-A900784MA,polo_simplecolor
Nike Golf 快速排汗短袖針織衫-黑639921-010,1312,.\\pic\\clothes\\polo_simplecolor\\11.jpg,https://24h.pchome.com.tw/prod/DXAG34-A90067WQ0,polo_simplecolor
咖啡紗國民POLO衫,499,.\\pic\\clothes\\polo_simplecolor\\12.jpg,https://24h.pchome.com.tw/prod/DEBL7P-A900784N7,polo_simplecolor
咖啡紗國民POLO衫,499,.\\pic\\clothes\\polo_simplecolor\\14.jpg,https://24h.pchome.com.tw/prod/DEBL7P-A900784NB,polo_simplecolor
Arcteryx 始祖鳥 男 Ether快乾短袖圓領衫- 參宿藍,2064,.\\pic\\clothes\\polo_simplecolor\\15.jpg,https://24h.pchome.com.tw/prod/DEBLDJ-A90083WO8,polo_simplecolor
Arcteryx 始祖鳥 男 Pelion短袖POLO衫- 宇宙藍,3984,.\\pic\\clothes\\polo_simplecolor\\17.jpg,https://24h.pchome.com.tw/prod/DEBLDJ-A90083WOY,polo_simplecolor
遊遍天下 MIT男款抗UV吸濕排汗POLO衫,550,.\\pic\\clothes\\polo_simplecolor\\18.jpg,https://24h.pchome.com.tw/prod/DEBL7E-A9009A960,polo_simplecolor
男生專用 拋棄式胸貼-運動胸貼40枚-kiret,979,.\\pic\\clothes\\polo_simplecolor\\110.jpg,https://24h.pchome.com.tw/prod/DEBN8A-A90092AVI,polo_simplecolor
遊遍天下 MIT男款短袖POLO衫S083黑色,550,.\\pic\\clothes\\polo_simplecolor\\111.jpg,https://24h.pchome.com.tw/prod/DEBL7E-A90091JB9,polo_simplecolor
Nike Golf 休閒快速排汗短袖針織衫-沉穩黑639915-010,1740,.\\pic\\clothes\\polo_simplecolor\\112.jpg,https://24h.pchome.com.tw/prod/DXAG1V-A900667BH,polo_simplecolor
【Christian】悠活雅致創新技術橫條POLO衫_藍(PS661-55),699,.\\pic\\clothes\\polo_simplecolor\\118.jpg,https://24h.pchome.com.tw/prod/DICL8J-A900855WB,polo_simplecolor
NIKE VICTORY SOLID LC素面運動休閒POLO衫(螢光黃)749333-702,1090,.\\pic\\clothes\\polo_simplecolor\\119.jpg,https://24h.pchome.com.tw/prod/DXAG69-A9007K7LU,polo_simplecolor
【Columbia哥倫比亞】鈦 酷涼快排短袖POLO衫-黑灰色　UAE15830BY,1968,.\\pic\\clothes\\polo_simplecolor\\20.jpg,https://24h.pchome.com.tw/prod/DXAL18-A90082ZNW,polo_simplecolor
NIKE GOLF Women’s Nike Dry Golf Skort 884872-010,1600,.\\pic\\clothes\\polo_simplecolor\\22.jpg,https://24h.pchome.com.tw/prod/DEBNLJ-A9008X20V,polo_simplecolor
