Product,Price,Imagepath,Dataurl,Label
ROBERTA諾貝達 純棉休閒格紋長袖襯衫EJC58-99黑白,749,.\\pic\\clothes\\stripe_long\\10.jpg,https://24h.pchome.com.tw/prod/DICLD4-A9008ETED,stripe_long
【STONEY.AX】寬版條紋蕾絲拼接長袖上衣-黑色,388,.\\pic\\clothes\\stripe_long\\11.jpg,https://24h.pchome.com.tw/prod/DIBAFG-A9009R4ZQ,stripe_long
ROBERTA諾貝達 進口素材 台灣製 合身版 緹花條紋長袖襯衫RDC17-91白色,1080,.\\pic\\clothes\\stripe_long\\13.jpg,https://24h.pchome.com.tw/prod/DICLD4-A9008Z93H,stripe_long
【BILLABONG】男 DIECUT STRIPE POP 連帽長上衣-灰,1254,.\\pic\\clothes\\stripe_long\\15.jpg,https://24h.pchome.com.tw/prod/DEBLU4-A9008R4PB,stripe_long
【WELLCUT】英倫紳士袖扣款長袖襯衫-藍條紋,1280,.\\pic\\clothes\\stripe_long\\16.jpg,https://24h.pchome.com.tw/prod/DICL45-A9006OFST,stripe_long
ROBERTA諾貝達 純棉休閒條紋長袖襯衫RFA01-53藍黃,749,.\\pic\\clothes\\stripe_long\\17.jpg,https://24h.pchome.com.tw/prod/DICLD4-A9008GPF1,stripe_long
Fabrizio法比奇【My Confidence 。自信】非。正式 襯衫領雙色條紋長袖polo衫 - 桑椹紫,616,.\\pic\\clothes\\stripe_long\\18.jpg,https://24h.pchome.com.tw/prod/DIBADV-A82035321,stripe_long
Fabrizio法比奇【My Confidence 。自信】非。正式 襯衫領雙色條紋長袖polo衫 - 孔雀綠,616,.\\pic\\clothes\\stripe_long\\19.jpg,https://24h.pchome.com.tw/prod/DIBADV-A82035950,stripe_long
【EE-LADY】立體荷葉條紋長袖襯衫-灰色,578,.\\pic\\clothes\\stripe_long\\110.jpg,https://24h.pchome.com.tw/prod/DIBAMK-A9008UGSY,stripe_long
【SUMMERLOVE 夏之戀】亮麗條紋長版二件式泳衣S15709,672,.\\pic\\clothes\\stripe_long\\111.jpg,https://24h.pchome.com.tw/prod/DIBAHM-A9006XGPJ,stripe_long
lingling A2228-01俐落顯瘦特殊質料條紋前短後長襯衫上衣(俐落白),650,.\\pic\\clothes\\stripe_long\\112.jpg,https://24h.pchome.com.tw/prod/DIBAB5-A9008WX17,stripe_long
