Product,Price,Imagepath,Dataurl,Label
NBA  NIKE Dry T-Shirt  Stephen Curry  Golden State Warriors金州勇士 (870775-496),850,.\\pic\\clothes\\tshirt_nike\\10.jpg,https://24h.pchome.com.tw/prod/DXAG9C-A9008PC9B,tshirt_nike
NBA  NIKE Dry T-Shirt  Jeremy Lin  Brooklyn Nets 布魯克林籃網 運動綿T (870759-010),850,.\\pic\\clothes\\tshirt_nike\\11.jpg,https://24h.pchome.com.tw/prod/DXAG9C-A9008PB76,tshirt_nike
NBA  NIKE Dry T-Shirt  Kevin Durant  Golden State Warriors 金州勇士 運動綿T (870775-497),989,.\\pic\\clothes\\tshirt_nike\\12.jpg,https://24h.pchome.com.tw/prod/DXAG9C-A9008PB77,tshirt_nike
NBA  NIKE Dry T-Shirt  LeBron James  Cleveland Cavaliers 克里夫蘭騎士(870767-680),850,.\\pic\\clothes\\tshirt_nike\\13.jpg,https://24h.pchome.com.tw/prod/DXAG9C-A9008PC9A,tshirt_nike
NBA  NIKE Dry EXP CTYSCP T-Shirt  Cleveland Cavaliers 克里夫蘭騎士 運動綿T (871030-677),1002,.\\pic\\clothes\\tshirt_nike\\14.jpg,https://24h.pchome.com.tw/prod/DXAG9C-A9008PB78,tshirt_nike
NBA  NIKE Dry Logo T-Shirt  Golden State Warriors 金州勇士 運動綿T (870507-728),852,.\\pic\\clothes\\tshirt_nike\\15.jpg,https://24h.pchome.com.tw/prod/DXAG9C-A9008PB75,tshirt_nike
NBA  NIKE Women's Dry T-Shirt  Golden State Warriors 金州勇士  綿Tee (926638-495),750,.\\pic\\clothes\\tshirt_nike\\16.jpg,https://24h.pchome.com.tw/prod/DXAG9C-A9008PB8I,tshirt_nike
【NIKE】男子 DRI FIT COTTON SHORT SLEEVE T-SHIRT-844489-010-黑,1080,.\\pic\\clothes\\tshirt_nike\\17.jpg,https://24h.pchome.com.tw/prod/DXAY0A-A90088YZL,tshirt_nike
NBA  NIKE Dry Logo T-Shirt  Cleveland Cavaliers 克里夫蘭騎士 運動綿T (870499-010),904,.\\pic\\clothes\\tshirt_nike\\18.jpg,https://24h.pchome.com.tw/prod/DXAG9C-A9008PB74,tshirt_nike
NBA  NIKE Dry EXP CTYSCP T-Shirt  Golden State Warriors 金州勇士 運動綿T (871038-495),904,.\\pic\\clothes\\tshirt_nike\\19.jpg,https://24h.pchome.com.tw/prod/DXAG9C-A9008PB8D,tshirt_nike
